target,neighbour,cls,aperture,dim_mm,n_live,n_surv,n_units,pre_lean_deg,pre_ax_x,pre_ax_y,pre_ax_z,pre_bearing_cos,pre_bearing_sin,pre_along,pre_radial,pre_dist,now_lean_deg,post_lean_deg,post_ax_x,post_ax_y,post_ax_z,post_bearing_cos,post_bearing_sin,moved_mm,step,tree,contact
81,80,SUCCESS,0.048,56.1,95,2,3,0.0,-2.7329282148326713e-10,5.891081524941548e-10,1.0,-0.3844566606998752,-0.9231430420273452,0.0469291459463223,0.1223388705511968,0.1310310802328735,0.0,0.0,0.0,0.0,1.0,-0.3844566607539744,-0.9231430420048148,4.342139999999994,1,0,False
81,82,SUCCESS,0.048,81.4,95,2,3,0.0126863815069151,-1.9914163562198283e-05,-0.0002205217798855,0.9999999754867852,-0.9775753535826204,-0.2105859161193239,0.0387227964578777,0.1371820969932957,0.1425425645237107,0.0,0.0,0.0,0.0,1.0,-0.9775778354179676,-0.2105743946910947,6.3003662979667086,1,0,False
83,84,SUCCESS,0.08,55.3,94,3,4,2.1835530220853,0.031905748372605,-0.0208256276766532,0.9992738946118112,0.5225344981429301,0.8526181432801649,0.1263602800040986,0.077080655831747,0.1480146880082056,0.0,0.0,0.0,0.0,1.0,0.5616749841936288,0.82735797097211,4.422952649123037,2,0,False
83,107,SUCCESS,0.08,70.1,94,3,4,0.0,3.350497344967948e-13,0.0,1.0,0.9969935133492172,0.0774850588151315,0.0460065869108054,0.1600446628380322,0.1665259743767347,0.0,0.0,0.0,0.0,1.0,0.996993513337963,0.077485058959938,5.425740100000057,2,0,False
83,80,SUCCESS,0.08,56.1,94,3,4,0.0,0.0,0.0,1.0,-0.9845495218626732,-0.1751063648185906,0.096756002010752,0.2379425992316851,0.2568626178606669,0.0,0.0,0.0,0.0,1.0,-0.9845495216115132,-0.1751063662307582,4.342140000000037,2,0,False
43,44,SUCCESS,0.082,80.3,93,3,4,0.0097498959980569,-4.121921805884384e-05,-0.0001651001259535,0.9999999855214622,0.6705428460157951,-0.7418708052329852,-0.153563011971396,0.141221261407764,0.2086265642705337,0.0,0.0,0.0,0.0,1.0,0.6706907790088936,-0.7417370686115421,6.215224147381613,3,0,False
43,41,SUCCESS,0.082,52.6,93,3,4,0.0,-5.573054850601305e-12,-9.22685832268606e-13,1.0,0.0140994219112288,-0.9999005982105268,-0.1534054569703289,0.3054125308179413,0.3417748501702479,0.0,0.0,0.0,0.0,1.0,0.0140994219099659,-0.9999005982105444,4.071239999999976,3,0,False
43,42,SUCCESS,0.082,65.5,93,3,4,6.603374822240765e-05,1.114075257528196e-07,1.1472071550507e-06,0.999999999999336,-0.1275237257801523,-0.99183552031733,-0.0668426345633562,0.2981583445287332,0.3055590551881668,0.0,0.0,0.0,0.0,1.0,-0.1275237130051029,-0.991835521959862,5.069700000155188,3,0,False
42,41,SUCCESS,0.066,52.6,92,3,4,0.0,0.0,0.0,1.0,0.9749437416062708,-0.222451569342104,-0.0845662459999999,0.0434162637223166,0.0950600963503523,0.0,0.0,0.0,0.0,1.0,0.9749437416062708,-0.222451569342104,4.071240000000004,4,0,False
42,44,SUCCESS,0.066,80.3,92,3,4,0.0,0.0,0.0,1.0,0.5706686064468885,0.8211804561824193,-0.089025152,0.2325787584958952,0.2490348501557865,0.0,0.0,0.0,0.0,1.0,0.5706686064468885,0.8211804561824193,6.215219999999993,4,0,False
42,107,SUCCESS,0.066,70.1,92,3,4,0.0,0.0,1.737809826228189e-16,1.0,-0.9758716198441952,-0.2183450974550751,0.1093007508999999,0.2312182846715277,0.2557509517357608,0.0,0.0,0.0,0.0,1.0,-0.9758716199266708,-0.2183450970864592,5.425739899999964,4,0,False
106,105,SUCCESS,0.052,54.4,91,1,2,0.0,-1.2463308846631946e-10,0.0,1.0,-0.9990256360410108,-0.0441336440015306,0.0508378707111139,0.0892600257495918,0.102722155814886,0.0,0.0,0.0,0.0,1.0,-0.9990256360410648,-0.0441336440003086,4.2105599999999885,5,0,False
75,76,SUCCESS,0.078,67.4,90,3,4,0.0002471213861099,4.31173507328563e-06,-1.0801078588265423e-07,0.9999999999906988,-0.7289112379420831,0.6846082143837742,-0.0047985264980362,0.1192955513023217,0.1193920199053405,0.0,0.0,0.0,0.0,1.0,-0.7289119500531482,0.6846074561891047,5.216760002234695,6,0,False
75,110,SUCCESS,0.078,53.8,90,3,4,0.0,-3.194028533658432e-11,5.380026652657706e-13,1.0,-0.1982998959576707,0.9801413935056396,0.042371497456318,0.281674967260031,0.2848440467652963,0.0,0.0,0.0,0.0,1.0,-0.1982998958899416,0.9801413935193424,4.164119999999995,6,0,False
75,61,SUCCESS,0.078,58.4,90,3,4,0.0,3.0709563450993064e-10,1.484215952393433e-09,1.0,0.6375159019530199,0.7704371971530369,0.1887501771048075,0.1123161350657707,0.2196395764729313,0.0,0.0,0.0,0.0,1.0,0.6375158990822367,0.7704371995285323,4.5201597000001,6,0,False
26,18,SUCCESS,0.05,67.10000000000001,89,3,4,0.0001762148267695,-3.05685703247412e-06,3.381614325855309e-07,0.9999999999952706,0.9978053174334488,-0.0662159233231298,-0.1086880923874752,0.0692218078905893,0.128859458769894,0.0,0.0,0.0,0.0,1.0,0.9978052984612392,-0.0662162092140373,5.193540001133834,7,0,False
26,19,SUCCESS,0.05,72.9,89,3,4,0.0037110147353149,6.363607885476752e-05,1.2063506041525084e-05,0.9999999979024607,-0.4501386398536818,0.8929586804050217,-0.0962253082041265,0.0648027995999179,0.1160116924062668,0.0,0.0,0.0,0.0,1.0,-0.4502567981345376,0.8928991072532407,5.642460549104858,7,0,False
