step,fruit,cls,n_tx,tree
2,53,NEIGHBOR_KNOCKED,3,47
3,8,SUCCESS,3,47
4,95,SUCCESS,3,47
5,52,SUCCESS,2,47
6,9,SUCCESS,3,47
7,103,SUCCESS,1,47
8,71,NEIGHBOR_KNOCKED,3,47
9,72,NEIGHBOR_KNOCKED,3,47
10,94,NO_DETACH,3,47
11,60,SUCCESS,3,47
12,30,SUCCESS,3,47
13,13,SUCCESS,3,47
14,29,SUCCESS,3,47
15,46,SUCCESS,1,47
16,1,SUCCESS,3,47
17,108,NEIGHBOR_KNOCKED,3,47
18,86,SUCCESS,2,47
19,80,SUCCESS,3,47
20,47,NEIGHBOR_KNOCKED,3,47
21,35,SUCCESS,1,47
1,44,SUCCESS,3,48
2,66,SUCCESS,3,48
3,60,SUCCESS,3,48
4,50,NEIGHBOR_KNOCKED,3,48
5,51,SUCCESS,3,48
6,2,NEIGHBOR_KNOCKED,3,48
7,3,SUCCESS,3,48
8,92,SUCCESS,3,48
9,16,SUCCESS,3,48
10,94,SUCCESS,3,48
11,93,SUCCESS,3,48
12,40,SUCCESS,3,48
13,114,APPROACH_BLOCKED,3,48
14,81,SUCCESS,2,48
15,98,SUCCESS,1,48
16,9,SUCCESS,3,48
1,8,SUCCESS,2,49
2,20,SUCCESS,2,49
3,15,SUCCESS,3,49
4,70,SUCCESS,3,49
5,6,SUCCESS,3,49
6,84,SUCCESS,3,49
7,117,NEIGHBOR_KNOCKED,3,49
8,45,SUCCESS,2,49
9,33,SUCCESS,3,49
10,86,NEIGHBOR_KNOCKED,2,49
11,47,SUCCESS,3,49
